Moral,Age,Duration(sec),Story
Be honest,6,30,"Once upon a time, there was a little girl named Emma. She loved playing in her backyard garden. One day, Emma accidentally broke her neighbor's flower pot. She felt very sad and worried about telling the truth. But when she did, her neighbor smiled and said, ""Thank you for being honest. Honesty is the best policy."""
Kindness is a good virtue,5,40,"Little Lily lived in a cozy cottage by the sea. Each morning, she would skip outside to pick flowers for her neighbors. ""Good morning Mrs. Willow! I brought you some daisies,"" Lily would say with a smile. One day, Lily noticed an old man sitting alone on a bench. ""Hello, sir. Would you like some of my flowers?"" The man's face lit up with joy. ""Why, thank you my dear!"" From that day on, Lily made sure to visit the man every morning, brightening his day with her kindness. Kindness is a good virtue that makes the world a little bit brighter."
Patience brings rewards,4,30,"Once upon a time, there lived a little girl named Lily. Lily loved to pick flowers in the meadow near her house. One day, Lily found a tiny, brown seed on the ground. ""I will plant this and watch it grow!"" she said excitedly. Lily carefully planted the seed and watered it every day. But days turned into weeks, and Lily didn't see any sprouts. ""When will my flower bloom?"" she sighed. Lily kept waiting patiently. Finally, one morning, a green shoot poked through the soil. Lily clapped her hands with joy. ""My flower is growing! I knew if I waited, it would be beautiful."" The little seed had blossomed into a bright, colorful flower, just as Lily had hoped. Patience had brought a wonderful reward."
Be happy and thankful,4,20,"Once upon a time, there lived a little girl named Lily. She loved to play in the meadow, picking pretty flowers. One day, Lily's favorite flower wilted. Lily felt sad. But her friend Bunny reminded her to be happy and thankful for all the other lovely flowers. Lily smiled and danced with joy, grateful for nature's beauty."
Admit your faults,8,40,"In a cozy little house, Lily the Ladybug lived with her family. One day, Lily accidentally knocked over a vase, but she didn't want to admit it. She tried to hide the broken pieces, but her mom saw them. ""Lily, what happened?"" asked Mom. Lily felt guilty and finally said, ""I'm sorry, I broke the vase."" Her mom gave her a big hug. ""I'm glad you told the truth. It's okay to make mistakes, as long as you own up to them."" From that day on, Lily learned that admitting faults is the brave thing to do."
Pride has fall,4,20,"In a cozy cottage, Penny the Puppy was feeling proud. ""I'm the best puppy!"" she barked. But when Penny tried to jump high, she fell with a thud. Penny learned that pride can make you fall. Now she's happy to be a sweet, humble pup."
Sharing is caring,3,30,"Lily the little lamb loved to play with her friends. One day, Lily found a juicy red apple. She was so excited! But then she saw her friends looking hungry. Lily smiled and said, ""Here, you can have a bite!"" Her friends cheered. Sharing the apple made Lily feel happy inside. Sharing is caring, just like Lily showed."
Listen to parents and elders,3,20,"The soft breeze whispered through the trees. Little Lily skipped through the meadow, picking flowers. ""Lily, time to come inside,"" called her mother. But Lily wanted to play more. She didn't listen. That night, Lily got lost in the dark woods. She learned to always obey her parents."
Tit for tat,4,30,"Little Bunny was hopping in the green grass. He saw a big juicy carrot. ""Yum!"" said Bunny, and he took a bite. 

But the carrot said, ""Hey, that's not nice! I will not give you any more carrots.""

Bunny felt sad. He said, ""I'm sorry. Can we be friends again?"" 

The carrot smiled. ""Of course! Here, have another bite.""

Bunny happily ate the carrot. 

Moral: Tit for tat."
Tit for tat,4,30,"Little Bunny was hopping in the green field. He found a big red apple on the ground. ""Yum!"" said Bunny, and he took a big bite. 

But then he saw that the apple had a small bite taken out of it already. ""Oh no, someone else took a bite!"" Bunny frowned. 

He put the apple back down, hopped away, and found his own fresh apple to eat. 

Moral: Tit for tat."
Honesty is the best policy,4,30,"Timmy the Puppy

Timmy was a happy puppy who loved to play. One day, Timmy knocked over a vase. He felt scared and hid the broken pieces. But Timmy's owner saw the mess. ""Timmy, what happened?"" she asked. Timmy said, ""I'm sorry, I broke it."" His owner gave him a big hug. ""I'm glad you told the truth. Honesty is the best policy.""

Moral: Honesty is the best policy."
Respect,5,30,"Lily the Puppy
Lily was a small, brown puppy. She loved to play in the park. One day, Lily saw a big dog. The big dog looked mean. Lily ran up to the dog and barked loudly. ""Stop!"" said the owner. ""You must respect the big dog."" Lily felt bad. She said sorry and sat down. The big dog wagged his tail. Lily learned to be kind and respect others.
Moral: Respect"
Respect,5,30,"It was a sunny day. Little Lily was playing in the park. She saw a small bird on the ground. The bird's wing was hurt. 

Lily said, ""Oh no! I will help you."" She gently picked up the bird and took it home. Lily gave the bird water and food. The bird got better.

Lily smiled. ""I am happy I helped the bird."" 

Moral: Respect"
Respect,5,30,"It was a sunny day. Little Lily saw a bird's nest on the ground. She wanted to pick it up and look at it. But Lily's mom said, ""No, Lily. That nest belongs to the bird. We must respect the bird's home.""  

Lily felt sad, but she listened to her mom. She walked away and left the nest alone. The bird came back and built a new home, safe and sound.

Moral: Respect"
Teamwork,4,30,"Little Pig and Big Pig were best friends. They wanted to build a big, strong house. Little Pig worked hard, but the house fell down. Big Pig said, ""Let's work together!"" They helped each other. Soon, they had a cozy new home. 

The two pigs were happy. They knew that teamwork was the best way to get things done.

Moral: Teamwork"
kindness,2,40,"The Boy saw a cat. The cat was cold. The Boy had a coat. The Boy gave the coat to the cat. The cat was warm now. The Boy felt good. 

The Girl saw a dog. The dog was sad. The Girl had a ball. The Girl gave the ball to the dog. The dog was happy now. The Girl felt good.

The Boy and the Girl were kind. They helped the cat and the dog. Moral: kindness"
Courage,5,30,"Little Lily was scared of the big, dark cave. But her friend Sam said, ""Don't be afraid! I'll go with you."" Lily took a deep breath and walked into the cave. It was dark inside, but Lily heard the sound of a small stream. ""See, it's not so bad!"" said Sam. Lily smiled, feeling brave. 

Moral: Courage"
Tit for tat,2,40,"Bunny saw a big red apple. He took a bite. 

But the apple had a small bite. ""Oh no!"" said Bunny.

He put the apple back. Bunny found a new apple.

He took a big bite. The new apple was good.

The old apple was bad. Bunny was kind to it.

Moral: Tit for tat."
Telling truth,4,30,"Little Lily was a good girl, but one day she made a mess. Her mom asked, ""Lily, did you make this mess?"" Lily felt scared. She did not want to get in trouble, so she said, ""No, I did not make the mess."" 

But Lily's mom could see the paint on Lily's hands. ""Lily, you must tell the truth,"" said her mom. Lily felt sad and said, ""I'm sorry, I made the mess."" Her mom gave her a big hug. 

Moral: Telling truth"
Respect,4,30,"Little Lily the Lamb loved to play in the green field. One day, she saw a big, loud dog. Lily felt scared. But the dog just wanted to play. Lily said, ""Hello, doggy. I like you!"" The dog wagged his tail. Lily petted the dog gently. They played all day. Lily learned that being kind and respectful is the best way.

Moral: Respect"
kindness,5,40,"Little Lily was a kind girl. One day, she saw a small bird with a hurt wing. ""Oh no!"" said Lily. ""You need help!"" Lily gently picked up the bird and took it home. She made a soft nest for the bird and gave it yummy food and water. 

The bird's wing got better, and soon it could fly again. ""Yay!"" cheered Lily. The bird flew up and perched on Lily's hand. ""Goodbye, little bird!"" said Lily. ""I'm so happy I could help you."" 

The bird chirped a thank-you and flew away. Lily felt warm inside. Moral: kindness"
kindness,5,40,"It was a sunny day. Little Lily was playing in the park. She saw a small bird on the ground. The bird had a hurt wing. 

Lily felt sad for the bird. She picked up the bird and took it home. Lily gave the bird food and water. She kept the bird safe until its wing got better.

When the bird was all better, Lily opened the window. The bird flew out, free! Lily waved and smiled. She felt happy she had helped the bird.

Moral: kindness"
Tit for tat,5,40,"Little Bunny was hopping in the green grass. He saw a big, juicy apple on the ground. ""Yum!"" said Bunny, and he took a big bite.

But then he saw that the apple had a small bite out of it already. ""Oh no, someone else took a bite!"" Bunny frowned.

He put the apple back down. Bunny hopped away and found a fresh, new apple. He took a big bite. It was sweet and crunchy. 

Bunny was kind to the old apple. The new apple was happy to be shared.

Moral: Tit for tat."
Tit for tat,5,40,"Little Bunny was hopping in the green field. He saw a big, red apple on the ground. ""Yum!"" said Bunny, and he took a big bite.

But then he saw that the apple had a small bite already. ""Oh no, someone else took a bite!"" Bunny frowned.

He put the apple back down and hopped away. Soon, Bunny found a fresh, new apple. He took a big bite. It was sweet and juicy. 

Bunny was kind to the old apple. The new apple was happy to be shared. 

Moral: Tit for tat."
Respect,7,40,"It was a sunny day at the park. Sam and his dog Buddy were playing fetch. Suddenly, a little girl named Lily walked by. Buddy ran over and jumped up on Lily, knocking her down. ""Bad dog!"" Sam yelled. He quickly pulled Buddy away and helped Lily stand up. ""I'm so sorry,"" said Sam. ""Are you okay?"" Lily nodded, but her dress was dirty. Sam felt bad. He helped Lily brush off her dress. ""I'm sorry my dog jumped on you,"" he said. ""I'll make sure he's more careful next time."" Lily smiled. ""That's okay. I'm just glad you were so nice about it.""

Moral: Respect"
Respect,5,30,"Once there was a little girl named Lily. Lily loved to play in the park. One day, she saw a small bird on the ground. The bird's wing was hurt. 

Lily said, ""Poor bird! I will help you."" She picked up the bird gently and took it home. Lily gave the bird food and water. The bird got well again.

Lily smiled. ""I showed the bird respect. I am happy I could help.""

Moral: Respect"
Tit for tat,4,40,"Little Bear was hungry. He saw a big, red apple on the ground. ""Yum!"" said Bear, and he took a big bite.

But then he saw that the apple already had a small bite taken out of it. ""Oh no!"" Bear frowned. ""Someone else took a bite!""

Bear put the apple back down. He hopped away and found his own fresh, juicy apple. He happily ate the whole thing.

Later, Bear saw a little bird. The bird said, ""Can I have some of your food?"" Bear smiled and said, ""Of course!"" He shared his food with the bird.

Moral: Tit for tat."
Tit for tat,4,40,"Little Duck was swimming in the pond. She found a big, juicy berry on the bank. ""Yum!"" said Duck, and she took a big bite.

But then Duck saw that the berry had a small bite taken out of it already. ""Oh no, someone else took a bite!"" Duck frowned.

She put the berry back down and swam away. Soon, Duck found her own fresh, red berry. She ate the whole thing happily.

Later, a little fish swam up to Duck. ""Can I have some of your food?"" asked the fish. Duck smiled and said, ""Of course!"" She shared her food with the fish.

Moral: Tit for tat."
kindness,4,30,"Little Bunny was hopping in the green grass. He saw a small bird with a hurt wing. ""Poor bird!"" said Bunny. He gently picked up the bird and took it to his warm, cozy home. Bunny gave the bird soft food and water. Soon, the bird's wing felt better. The bird flew away, chirping a happy song. 

Moral: kindness"
kindness,4,30,"Little Lily saw a sad, lost puppy. The puppy's fur was dirty, and he had no food or water. Lily felt sad for the puppy. She took the puppy home and gave him a warm bath. Lily gave the puppy food and water. The puppy wagged his tail and licked Lily's hand. Lily was happy she helped the puppy. 

Moral: kindness"
kindness,4,30,"Little Lily was a kind girl. One day, she saw a small bird on the ground. The bird had a hurt wing. Lily went to help the bird. She picked up the bird gently and took it to her home. Lily gave the bird food and water. Soon, the bird's wing got better. The bird flew away, happy and free. 

Moral: kindness"
Helping,4,30,"Little Lily saw a small bird on the ground. Its wing was hurt. Lily knew she had to help. She got a soft cloth and gently wrapped the bird's wing. The bird chirped happily. Lily smiled. She felt good inside for helping the little bird. 

Moral: Helping"
kindness,6,30,"Little Lily saw a lost puppy. The puppy was scared and cold. Lily felt sad for the puppy. She took the puppy home and gave it warm food and a soft bed. The puppy was happy and wagged its tail. Lily smiled, feeling glad she had helped the puppy.

Moral: kindness"
Teamwork,7,30,"Lily and Ethan were best friends who loved to play in the park. One day, their ball got stuck in a tall tree. Lily tried to climb up, but she was too small. Ethan tried to reach it, but he couldn't jump high enough. 

""We need to work together!"" said Lily. Ethan lifted Lily up, and she grabbed the ball. They both cheered with joy.

Moral: Teamwork"
Tit for tat,5,30,"Little Bear was walking in the green forest. He found a big, red apple on the ground. ""Yum!"" said Bear, and he took a big bite.

But then Bear saw that the apple had a small bite taken out of it already. ""Oh no, someone else took a bite!"" Bear frowned.

He put the apple back down and found his own fresh, juicy apple to eat. It was sweet and crisp.

Moral: Tit for tat."
Honesty is the best policy,6,40,"Tommy the Pup

Tommy was a happy pup who loved to play. One sunny day, Tommy was in the yard when he saw a shiny ball. ""Ooh, I want that!"" he said. Tommy took the ball, even though it wasn't his. 

Later, Tommy's owner asked, ""Tommy, do you know where my ball is?"" Tommy felt sad. He knew he should tell the truth. ""I took it,"" he said. His owner smiled. ""I'm glad you told me. Honesty is the best policy.""

From then on, Tommy always tried to be honest. He learned that telling the truth made him feel good inside.

Moral: Honesty is the best policy."
Honesty is the best policy,6,40,"Timmy's Toy

Timmy was a happy boy who loved his toys. One day, Timmy saw a shiny new ball in the park. ""I want that!"" he said. Timmy took the ball and hid it under his bed. 

But Timmy felt sad. He knew he should tell the truth. So Timmy went to the park and said, ""I took your ball. I'm sorry."" The park owner smiled. ""Thank you for being honest. That was the right thing to do."" 

Timmy felt much better. From then on, he tried to always tell the truth. Timmy learned that honesty is the best policy.

Moral: Honesty is the best policy."
gratitude,7,30,"Little Lila loved to play in the bright green grass. One day, she found a shiny red apple. Lila was so happy! She ran to show her mom. 

""Thank you, Lila!"" said her mom. ""I was hungry."" Lila smiled, feeling warm inside. 

Moral: gratitude"
gratitude,7,30,"Little Lily loved to play in the warm sun. One day, she found a ripe, red apple on the ground. Lily picked it up and ran to her mom.

""Thank you, Lily!"" said her mom. ""I was so hungry."" Lily felt happy inside. She gave the apple to her mom and watched her smile with joy.

Moral: gratitude"
gratitude,7,30,"Jack loved to play in the big park near his house. One sunny day, he found a shiny red ball. ""Wow!"" said Jack, his eyes shining. He raced home to show his mom. 

""Thank you for finding my lost ball!"" his mom cried. She gave Jack a big warm hug. Jack felt so happy. 

Moral: gratitude"
Honesty is the best policy,7,40,"The Honest Puppy

Daisy was a sweet little puppy who loved to play. One day, Daisy was in the house alone when she saw a big bone on the table. ""Mmm, that looks yummy!"" she said. Daisy took the bone and hid it under her bed. 

Soon, Daisy's owner came home. ""Daisy, have you seen my bone?"" he asked. Daisy felt very bad. She went to her owner and said, ""I'm sorry, I took the bone."" Her owner smiled and gave Daisy a hug. ""I'm proud of you for telling the truth. Honesty is the best policy.""

From that day on, Daisy always tried to be honest.

Moral: Honesty is the best policy."
